steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
13597904,846745,134.13,1787,0.0718,0.30747,19.016,9907,13956.7,3.57
13650896,850057,134.63,1766,0.0718,0.31946,18.803,9938,14737.8,3.73
13700880,853181,135.13,1666,0.0718,0.31406,19.16,9967,15173.6,3.81
13750016,856252,135.66,1549,0.0718,0.3136,18.858,9997,15998.3,3.92
13803088,859569,136.16,1769,0.0718,0.31773,19.015,10031,16283.1,3.95
13854768,862799,136.66,1722,0.0718,0.32038,19.029,10068,15664.7,3.82
13905728,865984,137.16,1698,0.0718,0.31666,19.027,10101,14808.8,3.7
13959376,869337,137.66,1788,0.0718,0.30479,18.924,10136,14289.6,3.54
14005664,872230,138.16,1543,0.0718,0.31197,18.733,10163,14723.7,3.64
14059968,875624,138.66,1810,0.0718,0.31101,19.159,10199,14993.8,3.66
14113280,878956,139.16,1777,0.0718,0.31593,19.123,10236,15654.1,3.77
14165360,882211,139.66,1736,0.0718,0.30565,19.085,10268,15191.5,3.68
14218000,885501,140.16,1754,0.0718,0.3041,19.135,10307,15237.7,3.73
14267232,888578,140.66,1641,0.0718,0.30963,19.001,10342,14740.6,3.65
14321824,891990,141.16,1819,0.0718,0.31928,19.265,10383,14114.8,3.52
14373440,895216,141.66,1720,0.0718,0.31558,19.26,10416,14308.8,3.58
14428176,898637,142.16,1824,0.0718,0.32787,19.214,10453,14848.6,3.65
14482016,902002,142.66,1794,0.0718,0.31853,19.082,10490,14530.9,3.58
14528912,904933,143.16,1563,0.0718,0.32185,19.125,10527,13676.5,3.38
14580944,908185,143.66,1734,0.0718,0.32409,19.0,10563,13835.4,3.43
14634992,911563,144.16,1801,0.0718,0.31837,19.218,10602,14175.7,3.48
14688512,914908,144.66,1784,0.0718,0.322,19.143,10642,14304.6,3.48
14742352,918273,145.16,1794,0.0718,0.33001,19.455,10678,14823.3,3.58
14791104,921320,145.66,1624,0.0718,0.32899,19.129,10707,15113.6,3.64
14843008,924564,146.16,1730,0.0718,0.3188,19.239,10740,15527.6,3.74
14895024,927815,146.66,1734,0.0718,0.31596,19.216,10777,14991.6,3.69
14947920,931121,147.16,1763,0.0718,0.31948,19.366,10815,14168.2,3.51
15000016,934377,147.71,1597,0.0718,0.31075,19.156,10848,14231.8,3.55
15050384,937525,148.21,1679,0.0718,0.30572,19.426,10879,14957.1,3.69
15101728,940734,148.71,1711,0.0718,0.31607,19.367,10918,15454.3,3.76
15153424,943965,149.21,1723,0.0718,0.31092,19.298,10951,14814.5,3.54
15206144,947260,149.71,1757,0.0718,0.33751,19.16,10988,14740.2,3.57
15252848,950179,150.21,1556,0.0718,0.33997,19.129,11021,14733.6,3.56
15305904,953495,150.71,1768,0.0718,0.32658,19.132,11054,14970.4,3.65
15359472,956843,151.21,1785,0.0718,0.31585,19.166,11087,15373.4,3.73
15412336,960147,151.71,1762,0.0718,0.3186,19.338,11125,15766.2,3.79
15462160,963261,152.21,1660,0.0718,0.31666,19.215,11158,14935.7,3.62
15510544,966285,152.71,1612,0.0718,0.31825,19.099,11187,15026.6,3.61
15561216,969452,153.21,1688,0.0718,0.32851,19.016,11221,14980.2,3.62
15613360,972711,153.71,1738,0.0718,0.33896,19.031,11262,14851.4,3.61
15666880,976056,154.21,1784,0.0718,0.34503,19.065,11301,13615.4,3.38
15719216,979327,154.71,1745,0.0718,0.33914,18.905,11336,14084.2,3.48
15765488,982219,155.21,1542,0.0718,0.33254,19.173,11364,14324.3,3.56
15817216,985452,155.71,1724,0.0718,0.32486,19.48,11397,15393.5,3.77
15869504,988720,156.21,1743,0.0718,0.31874,19.384,11431,15487.6,3.79
15920800,991926,156.71,1710,0.0718,0.32453,19.348,11465,15364.5,3.79
15974864,995305,157.21,1801,0.0718,0.32373,19.367,11500,15570.5,3.82
16021360,998211,157.71,1550,0.0718,0.32448,19.137,11526,15521.7,3.84
16075920,1001621,158.21,1818,0.0718,0.33009,19.472,11563,15873.0,3.9
16127056,1004817,158.71,1704,0.0718,0.32535,19.142,11592,16079.1,3.87
16181584,1008225,159.21,1817,0.0718,0.32488,19.238,11628,16182.8,3.85
16233856,1011492,159.71,1742,0.0718,0.33161,19.383,11668,15658.6,3.73
16277264,1014205,160.21,1447,0.0718,0.32362,19.468,11692,15743.4,3.79
16327952,1017373,160.71,1689,0.0718,0.32299,19.482,11727,15365.6,3.67
16378336,1020522,161.21,1679,0.0718,0.31913,19.654,11762,15792.9,3.77
16430800,1023801,161.71,1749,0.0718,0.32183,19.582,11792,15329.9,3.69
16484448,1027154,162.21,1788,0.0718,0.32647,19.649,11828,15591.4,3.84
16532528,1030159,162.71,1603,0.0718,0.33187,19.419,11861,15770.9,3.86
16586048,1033504,163.21,1783,0.0718,0.31784,19.62,11895,15957.5,3.83
16638128,1036759,163.71,1736,0.0718,0.31848,19.635,11928,15736.6,3.78
16691584,1040100,164.21,1781,0.0718,0.31765,20.031,11967,15319.9,3.71
16745680,1043481,164.71,1803,0.0718,0.3119,19.663,12007,15128.2,3.64
16795584,1046600,165.21,1663,0.0718,0.31658,19.782,12042,14370.6,3.46
16848176,1049887,165.71,1753,0.0718,0.32617,19.432,12074,15029.1,3.62
16901584,1053225,166.21,1780,0.0718,0.31902,19.428,12109,14710.5,3.68
16955728,1056609,166.71,1805,0.0718,0.30754,19.776,12146,15245.0,3.78
17003232,1059578,167.21,1583,0.0718,0.3237,19.592,12181,14882.6,3.71
17055648,1062854,167.71,1747,0.0718,0.31847,19.406,12214,15596.4,3.75
17107904,1066120,168.21,1742,0.0718,0.31335,19.095,12247,16240.6,3.92
17161968,1069499,168.71,1802,0.0718,0.31414,19.507,12286,15704.3,3.79
17212384,1072650,169.21,1681,0.0718,0.31277,19.288,12320,14704.6,3.6
17258000,1075501,169.71,1521,0.0718,0.31575,19.549,12354,14314.4,3.45
17309104,1078695,170.21,1703,0.0718,0.30898,19.325,12392,14120.6,3.42
17360944,1081935,170.71,1728,0.0718,0.31602,19.346,12427,14565.4,3.54
17412512,1085158,171.21,1719,0.0718,0.31152,19.328,12460,15004.3,3.62
17463168,1088324,171.71,1688,0.0718,0.30779,19.339,12491,15514.7,3.7
